,university,course,type,review,votes,students,difficulty
63,University of Alberta,"Problem Solving, Python Programming, and Video Games",COURSE,4.2,104.0,23000.0,Beginner
64,University of Michigan,"Applied Plotting, Charting & Data Representation in Python",COURSE,4.5,5692.0,150000.0,Intermediate
65,Moscow Institute of Physics and Technology,Математика и Python для анализа данных,COURSE,4.8,5482.0,85000.0,Beginner
66,Coursera Project Network,Create Your First Chatbot with Rasa and Python,GUIDED PROJECT,4.5,749.0,16000.0,Beginner
67,LearnQuest,Python Scripting for DevOps,SPECIALIZATION,3.9,11.0,,Beginner
68,University of Michigan,Data Collection and Processing with Python,COURSE,4.7,3184.0,54000.0,Intermediate
69,University of Michigan,Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,COURSE,5.0,33.0,4900.0,Mixed
70,Rice University,Python Programming Essentials,COURSE,4.8,2853.0,68000.0,Beginner
71,IBM,Statistics for Data Science with Python,COURSE,4.6,106.0,5300.0,Mixed
72,National Taiwan University,用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)),COURSE,4.9,522.0,19000.0,Beginner
73,Johns Hopkins University,Python for Genomic Data Science,COURSE,4.3,1301.0,41000.0,Mixed
74,Coursera Project Network,Build a Data Science Web App with Streamlit and Python,GUIDED PROJECT,4.6,600.0,14000.0,Intermediate
75,University of Michigan,Inferential Statistical Analysis with Python,COURSE,4.6,698.0,28000.0,Intermediate
76,Coursera Project Network,Python for Data Analysis: Pandas & NumPy,GUIDED PROJECT,4.3,15.0,,Beginner
77,IBM,Python Project for Data Engineering,COURSE,4.7,33.0,1500.0,Intermediate
78,IBM,Python Project for AI & Application Development,COURSE,4.6,28.0,2400.0,Intermediate
79,Google,Automating Real-World Tasks with Python,COURSE,4.8,1463.0,38000.0,Beginner
80,EDHEC Business School,Advanced Portfolio Construction and Analysis with Python,COURSE,4.8,376.0,13000.0,Intermediate
81,Moscow Institute of Physics and Technology,ООП и паттерны проектирования в Python,COURSE,3.9,288.0,12000.0,Intermediate
82,Coursera Project Network,Learn Python with no prior programming experience,GUIDED PROJECT,3.8,41.0,,Beginner
83,University of Michigan,"Python Project: pillow, tesseract, and opencv",COURSE,4.0,1553.0,47000.0,Intermediate
84,Coursera Project Network,Build a Working Chatbot in Python,GUIDED PROJECT,1.7,7.0,,Intermediate
85,Nanjing University,Data Processing Using Python,COURSE,4.2,214.0,43000.0,Beginner
86,Moscow Institute of Physics and Technology,Создание Web-сервисов на Python,COURSE,4.1,130.0,12000.0,Intermediate
87,Codio,Python Basics: Selection and Iteration,COURSE,4.8,19.0,,Beginner
88,Coursera Project Network,Introduction to Reinforcement Learning in Python,GUIDED PROJECT,3.5,51.0,2500.0,Intermediate
89,University of Michigan,Applied Text Mining in Python,COURSE,4.2,3496.0,110000.0,Intermediate
90,Rice University,An Introduction to Interactive Programming in Python (Part 1),COURSE,4.8,3006.0,190000.0,Mixed
91,Coursera Project Network,A Beginners Guide to Python for Financial Analysis,GUIDED PROJECT,3.3,7.0,,Beginner
92,Moscow Institute of Physics and Technology,Python для анализа данных,COURSE,4.5,97.0,12000.0,Intermediate
93,Coursera Project Network,Game Theory with Python,GUIDED PROJECT,4.3,66.0,6300.0,Intermediate
94,University of California San Diego,Python Data Products for Predictive Analytics,SPECIALIZATION,4.2,207.0,23000.0,Intermediate
95,The University of Chicago,Global Warming II: Create Your Own Models in Python,COURSE,4.2,48.0,11000.0,Mixed
96,"University of California, Irvine",The Raspberry Pi Platform and Python Programming for the Raspberry Pi,COURSE,4.7,2546.0,110000.0,Mixed
97,HSE University,Python как иностранный,COURSE,,,2200.0,Beginner
98,Coursera Project Network,Web Scraping with Python + BeautifulSoup,GUIDED PROJECT,3.7,110.0,5100.0,Intermediate
99,Nanjing University,用Python玩转数据 Data Processing Using Python,COURSE,4.7,1407.0,73000.0,Mixed
100,Universidad Austral,Introducción a la programación con Python,COURSE,4.6,1418.0,35000.0,Beginner
101,Rice University,Python Data Analysis,COURSE,4.7,767.0,30000.0,Beginner
102,University of Michigan,Programmation pour tous (mise en route de Python),COURSE,,,,Mixed
103,Coursera Project Network,COVID19 Data Visualization Using Python,GUIDED PROJECT,4.6,62.0,2900.0,Intermediate
104,University of Illinois at Urbana-Champaign,Accounting Data Analytics with Python,COURSE,4.1,46.0,7300.0,Intermediate
105,Coursera Project Network,Sentimental Analysis on COVID-19 Tweets using python,GUIDED PROJECT,4.7,28.0,,Intermediate
106,Coursera Project Network,Create Interactive Dashboards with Streamlit and Python,GUIDED PROJECT,4.7,342.0,8100.0,Intermediate
107,Coursera Project Network,Build a Recommender System in Python,GUIDED PROJECT,2.1,7.0,,Intermediate
